Solar irradiance (Kurucz, R.L. 2005)   revised 02jan2010
High resolution irradiance spectrum from 300 to 1000 nm.
Thuillier et al (2004) calibration
Kurucz.harvard.edu/sun/irradiance2005/irradthuwn.br_5nm
0.5 nm FWHM Gaussian broadening
300 by 0.25 to 1000 nm
 
    nm    W/m**2/nm
  414.500  1.6924
  414.750  1.7758
  415.000  1.8146
  415.250  1.7780
  415.500  1.7235
  415.750  1.7186
  416.000  1.8043
  416.250  1.8944
  416.500  1.9226
  416.750  1.8599
  417.000  1.8059
  417.250  1.7122
  417.500  1.6523
  417.750  1.7043
  418.000  1.7558
  418.250  1.7520
  418.500  1.7429
  418.750  1.7126
  419.000  1.7299
  419.250  1.8338
  419.500  1.8446
  419.750  1.7125
  420.000  1.6221
  420.250  1.6493
  420.500  1.7629
  420.750  1.8808
  421.000  1.9139
  421.250  1.9213
  421.500  1.8746
  421.750  1.8040
  422.000  1.8736
  422.250  1.8818
  422.500  1.6502
  422.750  1.4421
  423.000  1.6477
  423.250  1.8421
  423.500  1.7761
  423.750  1.6922
  424.000  1.7273
  424.250  1.8053
  424.500  1.8571
  424.750  1.7928
  425.000  1.6678
  425.250  1.6960
  425.500  1.7452
  425.750  1.7608
  426.000  1.6757
  426.250  1.6634
  426.500  1.8350
  426.750  1.8538
  427.000  1.6860
  427.250  1.4892
  427.500  1.5169
  427.750  1.7010
  428.000  1.7724
  428.250  1.7295
  428.500  1.7126
  428.750  1.6338
  429.000  1.5540
  429.250  1.5765
  429.500  1.6345
  429.750  1.5081
  430.000  1.2850
  430.250  1.1905
  430.500  1.2216
  430.750  1.1794
  431.000  1.1224
  431.250  1.2642
  431.500  1.5875
  431.750  1.9316
  432.000  2.0383
  432.250  1.8645
  432.500  1.5578
  432.750  1.5531
  433.000  1.8337
  433.250  1.9488
  433.500  1.9410
  433.750  1.7509
  434.000  1.4488
  434.250  1.4266
  434.500  1.6685
  434.750  1.8589
  435.000  1.8953
  435.250  1.7727
  435.500  1.7681
  435.750  1.8709
  436.000  1.9124
  436.250  1.9752
  436.500  2.0275
  436.750  1.9946
  437.000  1.9247
  437.250  1.8847
  437.500  1.8026
  437.750  1.8224
  438.000  1.8870
  438.250  1.7141
  438.500  1.4914
  438.750  1.6262
  439.000  1.7730
  439.250  1.8164
  439.500  1.8614
  439.750  1.9244
  440.000  1.9289
  440.250  1.8453
  440.500  1.7433
  440.750  1.7561
  441.000  1.9056
  441.250  2.0373
